date,home_team,away_team,score,venue,referee,home_possession,away_possession,home_passing_accuracy,away_passing_accuracy,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_passing_accuracy_pct,away_passing_accuracy_pct,home_shots_on_target_pct,away_shots_on_target_pct,home_saves_pct,away_saves_pct,result,winner
2025-12-09,Bayern Munich,Sporting CP,3–1,Allianz Arena,Nick Walsh,62%,38%,665 of 722,392 of 446,9 of 23,0 of 4,0 of 0,6 of 9,92.1,87.9,39.1,0.0,,66.7,Home Win,Bayern Munich
2025-12-09,Tottenham,Slavia Prague,3–0,Tottenham Hotspur Stadium,Benoît Bastien,53%,47%,319 of 404,259 of 356,8 of 14,5 of 12,5 of 5,8 of 8,79.0,72.8,57.1,41.7,100.0,100.0,Home Win,Tottenham
2025-12-09,Qaırat Almaty,Olympiacos,0–1,Astana Arena,Juan Martínez,46%,54%,302 of 454,392 of 532,1 of 5,8 of 20,7 of 8,1 of 1,66.5,73.7,20.0,40.0,87.5,100.0,Away Win,Olympiacos
2025-12-09,Inter,Liverpool,0–1,Stadio Giuseppe Meazza,Felix Zwayer,50%,50%,438 of 527,457 of 531,2 of 9,4 of 11,4 of 4,2 of 2,83.1,86.1,22.2,36.4,100.0,100.0,Away Win,Liverpool
2025-12-09,Atalanta,Chelsea,2–1,New Balance Arena,Alejandro Hernández,50%,50%,446 of 536,456 of 540,4 of 14,5 of 10,4 of 5,2 of 4,83.2,84.4,28.6,50.0,80.0,50.0,Home Win,Atalanta
2025-12-09,Barcelona,Eint Frankfurt,2–1,Spotify Camp Nou,Davide Massa,74%,26%,770 of 867,181 of 297,7 of 19,4 of 6,3 of 4,5 of 7,88.8,60.9,36.8,66.7,75.0,71.4,Home Win,Barcelona
2025-12-09,PSV Eindhoven,Atlético Madrid,2–3,Philips Stadion,Michael Oliver,52%,48%,425 of 528,391 of 486,3 of 13,9 of 15,6 of 9,1 of 3,80.5,80.5,23.1,60.0,66.7,33.3,Away Win,Atlético Madrid
2025-12-09,Monaco,Galatasaray,1–0,Stade Louis II,Danny Makkelie,42%,58%,265 of 364,415 of 506,4 of 18,2 of 13,2 of 2,3 of 4,72.8,82.0,22.2,15.4,100.0,75.0,Home Win,Monaco
2025-12-09,Union SG,Marseille,2–3,Lotto Park,João Pinheiro,41%,59%,359 of 452,560 of 645,6 of 8,5 of 10,2 of 5,4 of 6,79.4,86.8,75.0,50.0,40.0,66.7,Away Win,Marseille
2025-12-10,Villarreal,FC Copenhagen,2–3,Estadio de la Cerámica,Ivan Kružliak,52%,48%,384 of 476,342 of 443,5 of 19,4 of 8,1 of 4,3 of 5,80.7,77.2,26.3,50.0,25.0,60.0,Away Win,FC Copenhagen
2025-12-10,Benfica,Napoli,2–0,Estádio do Sport Lisboa e Benfica,Slavko Vinčič,40%,60%,289 of 381,466 of 569,5 of 13,2 of 9,2 of 2,3 of 5,75.9,81.9,38.5,22.2,100.0,60.0,Home Win,Benfica
2025-12-10,Real Madrid,Manchester City,1–2,Estadio Santiago Bernabéu,Clément Turpin,52%,48%,392 of 474,377 of 445,1 of 16,7 of 11,6 of 7,0 of 1,82.7,84.7,6.2,63.6,85.7,0.0,Away Win,Manchester City
2025-12-10,Leverkusen,Newcastle Utd,2–2,BayArena,Serdar Gözübüyük,51%,49%,390 of 479,377 of 458,7 of 17,4 of 12,3 of 4,6 of 7,81.4,82.3,41.2,33.3,75.0,85.7,Draw,Draw
2025-12-10,Dortmund,Bodø/Glimt,2–2,Signal Iduna Park,Erik Lambrechts,63%,37%,501 of 603,268 of 358,9 of 22,3 of 7,1 of 3,7 of 9,83.1,74.9,40.9,42.9,33.3,77.8,Draw,Draw
2025-12-10,Juventus,Pafos FC,2–0,Allianz Stadium,Jesús Gil,61%,39%,529 of 604,313 of 386,5 of 25,3 of 12,3 of 3,3 of 5,87.6,81.1,20.0,25.0,100.0,60.0,Home Win,Juventus
2025-12-10,Athletic Club,Paris S-G,0–0,San Mamés,Daniel Siebert,28%,72%,198 of 285,627 of 727,1 of 9,4 of 18,4 of 4,1 of 1,69.5,86.2,11.1,22.2,100.0,100.0,Draw,Draw
